iconCategory,latitude,longitude,timestamp,hour,day,month,is_weekend,minute,week_number,is_peak_hour,is_peak_morning,is_peak_evening,is_night,severity,time_of_day
9,53.330112407,-6.3981320398,2026-03-31 20:29:22.650899,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
9,53.3302612763,-6.3977444606,2026-03-31 20:29:22.650910,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
9,53.3661398497,-6.3821474152,2026-03-31 20:29:22.650914,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
0,53.2910527556,-6.3146979051,2026-03-31 20:29:22.650917,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,,Evening
0,53.2907952763,-6.3143586056,2026-03-31 20:29:22.650919,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,,Evening
9,53.3024709226,-6.3089941876,2026-03-31 20:29:22.650921,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
9,53.3027217198,-6.3090585606,2026-03-31 20:29:22.650923,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
9,53.3602551079,-6.3076852696,2026-03-31 20:29:22.650924,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
8,53.250303273,-6.3005224304,2026-03-31 20:29:22.650932,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,High,Evening
8,53.2574969771,-6.3004513519,2026-03-31 20:29:22.650934,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,High,Evening
9,53.3341357516,-6.2985443013,2026-03-31 20:29:22.650935,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
9,53.3335349194,-6.2913988964,2026-03-31 20:29:22.650937,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
9,53.333302923,-6.2911279933,2026-03-31 20:29:22.650938,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Low,Evening
6,53.3614741683,-6.2947583632,2026-03-31 20:29:22.650940,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Medium,Evening
6,53.3174872564,-6.2928486304,2026-03-31 20:29:22.650941,20.0,Tuesday,3.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,Medium,Evening
