iconCategory,latitude,longitude,timestamp,hour,day,month,is_weekend,minute,week_number,is_peak_hour,is_peak_morning,is_peak_evening,is_night,severity,time_of_day
9,53.330112407,-6.3981320398,2026-03-31 20:29:22.650899,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.3302612763,-6.3977444606,2026-03-31 20:29:22.650910,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.3661398497,-6.3821474152,2026-03-31 20:29:22.650914,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.3024709226,-6.3089941876,2026-03-31 20:29:22.650921,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.3027217198,-6.3090585606,2026-03-31 20:29:22.650923,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.3602551079,-6.3076852696,2026-03-31 20:29:22.650924,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
8,53.250303273,-6.3005224304,2026-03-31 20:29:22.650932,20,Tuesday,3,0,29,14,0,0,0,0,High,Evening
8,53.2574969771,-6.3004513519,2026-03-31 20:29:22.650934,20,Tuesday,3,0,29,14,0,0,0,0,High,Evening
9,53.3341357516,-6.2985443013,2026-03-31 20:29:22.650935,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.3335349194,-6.2913988964,2026-03-31 20:29:22.650937,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.333302923,-6.2911279933,2026-03-31 20:29:22.650938,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
6,53.3614741683,-6.2947583632,2026-03-31 20:29:22.650940,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
6,53.3174872564,-6.2928486304,2026-03-31 20:29:22.650941,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
6,53.3611361803,-6.2854510979,2026-03-31 20:29:22.650942,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
6,53.3470049623,-6.283936991,2026-03-31 20:29:22.650944,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
9,53.3104116181,-6.2814639942,2026-03-31 20:29:22.650945,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.3105618082,-6.2808631794,2026-03-31 20:29:22.650946,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
7,53.3609309952,-6.2794134455,2026-03-31 20:29:22.650948,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
9,53.3414313534,-6.277751817,2026-03-31 20:29:22.650949,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
7,53.3610449926,-6.2826575773,2026-03-31 20:29:22.650950,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
7,53.3441806185,-6.2734482126,2026-03-31 20:29:22.650952,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
7,53.3442033869,-6.2723552124,2026-03-31 20:29:22.650953,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
7,53.3642918146,-6.2718563216,2026-03-31 20:29:22.650954,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
9,53.3606694853,-6.2709711926,2026-03-31 20:29:22.650956,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
9,53.3547512196,-6.2687838511,2026-03-31 20:29:22.650957,20,Tuesday,3,0,29,14,0,0,0,0,Low,Evening
8,53.3302183776,-6.2642978565,2026-03-31 20:29:22.650960,20,Tuesday,3,0,29,14,0,0,0,0,High,Evening
8,53.3418725869,-6.263623281,2026-03-31 20:29:22.650961,20,Tuesday,3,0,29,14,0,0,0,0,High,Evening
6,53.3529380119,-6.2616813617,2026-03-31 20:29:22.650965,20,Tuesday,3,0,29,14,0,0,0,0,Medium,Evening
