iconCategory,latitude,longitude,timestamp,hour,day,month,minute,week_number,is_weekend,is_peak_hour,is_peak_morning,is_peak_evening,is_night,severity,time_of_day
6,53.2897572264,-6.3988669651,2026-03-25 22:50:30.341324,22,Wednesday,3,50,13,False,0,False,False,1,Medium,Evening
9,53.330112407,-6.3981320398,2026-03-25 22:50:30.341335,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.3302612763,-6.3977444606,2026-03-25 22:50:30.341338,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.3661398497,-6.3821474152,2026-03-25 22:50:30.341341,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.3664657445,-6.3857965605,2026-03-25 22:50:30.341343,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.3347392281,-6.3791326122,2026-03-25 22:50:30.341344,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.3168945018,-6.325027092,2026-03-25 22:50:30.341346,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.3168153871,-6.324052109,2026-03-25 22:50:30.341347,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
0,53.2910527556,-6.3146979051,2026-03-25 22:50:30.341349,22,Wednesday,3,50,13,False,0,False,False,1,,Evening
0,53.2907952763,-6.3143586056,2026-03-25 22:50:30.341350,22,Wednesday,3,50,13,False,0,False,False,1,,Evening
9,53.3027217198,-6.3090585606,2026-03-25 22:50:30.341352,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.3602551079,-6.3076852696,2026-03-25 22:50:30.341353,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.3022080523,-6.3074773984,2026-03-25 22:50:30.341354,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
9,53.2786783645,-6.301312341,2026-03-25 22:50:30.341356,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
8,53.2574969771,-6.3004513519,2026-03-25 22:50:30.341357,22,Wednesday,3,50,13,False,0,False,False,1,High,Evening
8,53.250303273,-6.3005224304,2026-03-25 22:50:30.341358,22,Wednesday,3,50,13,False,0,False,False,1,High,Evening
9,53.3341357516,-6.2985443013,2026-03-25 22:50:30.341359,22,Wednesday,3,50,13,False,0,False,False,1,Low,Evening
