STATISTIC,Statistic Label,TLIST(A1),Year,C01885V02316,Month of Year,UNIT,VALUE
ROA17C1,Fatal Collisions,2005,2005,-,All months,Number,360
ROA17C1,Fatal Collisions,2005,2005,1,January,Number,31
ROA17C1,Fatal Collisions,2005,2005,2,February,Number,34
ROA17C1,Fatal Collisions,2005,2005,3,March,Number,23
ROA17C1,Fatal Collisions,2005,2005,4,April,Number,20
ROA17C1,Fatal Collisions,2005,2005,5,May,Number,36
ROA17C1,Fatal Collisions,2005,2005,6,June,Number,20
ROA17C1,Fatal Collisions,2005,2005,7,July,Number,38
ROA17C1,Fatal Collisions,2005,2005,8,August,Number,23
ROA17C1,Fatal Collisions,2005,2005,9,September,Number,29
ROA17C1,Fatal Collisions,2005,2005,10,October,Number,38
ROA17C1,Fatal Collisions,2005,2005,11,November,Number,31
ROA17C1,Fatal Collisions,2005,2005,12,December,Number,37
ROA17C1,Fatal Collisions,2006,2006,-,All months,Number,321
ROA17C1,Fatal Collisions,2006,2006,1,January,Number,34
ROA17C1,Fatal Collisions,2006,2006,2,February,Number,26
ROA17C1,Fatal Collisions,2006,2006,3,March,Number,25
ROA17C1,Fatal Collisions,2006,2006,4,April,Number,29
ROA17C1,Fatal Collisions,2006,2006,5,May,Number,25
ROA17C1,Fatal Collisions,2006,2006,6,June,Number,31
ROA17C1,Fatal Collisions,2006,2006,7,July,Number,33
ROA17C1,Fatal Collisions,2006,2006,8,August,Number,17
ROA17C1,Fatal Collisions,2006,2006,9,September,Number,21
ROA17C1,Fatal Collisions,2006,2006,10,October,Number,25
ROA17C1,Fatal Collisions,2006,2006,11,November,Number,24
ROA17C1,Fatal Collisions,2006,2006,12,December,Number,31
ROA17C1,Fatal Collisions,2007,2007,-,All months,Number,309
ROA17C1,Fatal Collisions,2007,2007,1,January,Number,21
ROA17C1,Fatal Collisions,2007,2007,2,February,Number,24
ROA17C1,Fatal Collisions,2007,2007,3,March,Number,32
ROA17C1,Fatal Collisions,2007,2007,4,April,Number,25
ROA17C1,Fatal Collisions,2007,2007,5,May,Number,19
ROA17C1,Fatal Collisions,2007,2007,6,June,Number,28
ROA17C1,Fatal Collisions,2007,2007,7,July,Number,30
ROA17C1,Fatal Collisions,2007,2007,8,August,Number,24
ROA17C1,Fatal Collisions,2007,2007,9,September,Number,26
ROA17C1,Fatal Collisions,2007,2007,10,October,Number,24
ROA17C1,Fatal Collisions,2007,2007,11,November,Number,20
ROA17C1,Fatal Collisions,2007,2007,12,December,Number,36
ROA17C1,Fatal Collisions,2008,2008,-,All months,Number,254
ROA17C1,Fatal Collisions,2008,2008,1,January,Number,25
ROA17C1,Fatal Collisions,2008,2008,2,February,Number,27
ROA17C1,Fatal Collisions,2008,2008,3,March,Number,18
ROA17C1,Fatal Collisions,2008,2008,4,April,Number,19
ROA17C1,Fatal Collisions,2008,2008,5,May,Number,16
ROA17C1,Fatal Collisions,2008,2008,6,June,Number,23
ROA17C1,Fatal Collisions,2008,2008,7,July,Number,24
ROA17C1,Fatal Collisions,2008,2008,8,August,Number,25
ROA17C1,Fatal Collisions,2008,2008,9,September,Number,19
ROA17C1,Fatal Collisions,2008,2008,10,October,Number,21
ROA17C1,Fatal Collisions,2008,2008,11,November,Number,20
ROA17C1,Fatal Collisions,2008,2008,12,December,Number,17
ROA17C1,Fatal Collisions,2009,2009,-,All months,Number,220
ROA17C1,Fatal Collisions,2009,2009,1,January,Number,17
ROA17C1,Fatal Collisions,2009,2009,2,February,Number,12
ROA17C1,Fatal Collisions,2009,2009,3,March,Number,22
ROA17C1,Fatal Collisions,2009,2009,4,April,Number,19
ROA17C1,Fatal Collisions,2009,2009,5,May,Number,25
ROA17C1,Fatal Collisions,2009,2009,6,June,Number,15
ROA17C1,Fatal Collisions,2009,2009,7,July,Number,17
ROA17C1,Fatal Collisions,2009,2009,8,August,Number,19
ROA17C1,Fatal Collisions,2009,2009,9,September,Number,14
ROA17C1,Fatal Collisions,2009,2009,10,October,Number,21
ROA17C1,Fatal Collisions,2009,2009,11,November,Number,21
